carácter, valor, carácter, valor
0, 0, I, 18
1, 1, J, 19
2, 2, K, 20
3, 3, L, 21
4, 4, M, 22
5, 5, N, 23
6, 6, O, 25
7, 7, P, 26
8, 8, Q, 27
9, 9, R, 28
A, 10, S, 29
B, 11, T, 30
C, 12, U, 31
D, 13, V, 32
E, 14, W, 33
F, 15, X, 34
G, 16, Y, 35
H, 17, Z, 36
